timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779136646158,815,Add Product,201,Created,Product Queue Test 4-2,text,true,,378,519,9,99,http://localhost:3000/products,815,0,1
1779136646327,3040,Add Product,201,Created,Product Queue Test 4-3,text,true,,378,519,32,312,http://localhost:3000/products,3040,0,1
1779136646429,4084,Add Product,201,Created,Product Queue Test 4-4,text,true,,378,519,42,408,http://localhost:3000/products,4084,0,3
1779136646526,4451,Add Product,201,Created,Product Queue Test 4-5,text,true,,378,519,46,443,http://localhost:3000/products,4451,0,2
1779136646126,5438,Add Product,201,Created,Product Queue Test 4-1,text,true,,378,519,51,497,http://localhost:3000/products,5438,0,1
1779136646626,5373,Add Product,201,Created,Product Queue Test 4-6,text,true,,378,519,54,512,http://localhost:3000/products,5373,0,2
1779136646726,5690,Add Product,201,Created,Product Queue Test 4-7,text,true,,378,519,57,533,http://localhost:3000/products,5690,0,2
1779136646826,5766,Add Product,201,Created,Product Queue Test 4-8,text,true,,378,519,58,546,http://localhost:3000/products,5766,0,1
1779136646927,6260,Add Product,201,Created,Product Queue Test 4-9,text,true,,378,519,63,585,http://localhost:3000/products,6260,0,2
1779136647027,6398,Add Product,201,Created,Product Queue Test 4-10,text,true,,378,519,65,596,http://localhost:3000/products,6398,0,2
1779136647154,6889,Add Product,201,Created,Product Queue Test 4-12,text,true,,378,519,70,641,http://localhost:3000/products,6889,0,2
1779136647125,7103,Add Product,201,Created,Product Queue Test 4-11,text,true,,378,519,71,662,http://localhost:3000/products,7103,0,2
1779136647255,7665,Add Product,201,Created,Product Queue Test 4-13,text,true,,378,519,74,668,http://localhost:3000/products,7665,0,2
1779136647425,8066,Add Product,201,Created,Product Queue Test 4-14,text,true,,378,519,79,714,http://localhost:3000/products,8066,0,2
1779136647525,8536,Add Product,201,Created,Product Queue Test 4-15,text,true,,378,519,84,726,http://localhost:3000/products,8536,0,3
1779136647625,8788,Add Product,201,Created,Product Queue Test 4-16,text,true,,378,519,83,695,http://localhost:3000/products,8788,0,4
1779136647724,9404,Add Product,201,Created,Product Queue Test 4-17,text,true,,378,519,82,593,http://localhost:3000/products,9404,0,1
1779136647824,9426,Add Product,201,Created,Product Queue Test 4-18,text,true,,378,519,81,574,http://localhost:3000/products,9426,0,3
1779136647924,9455,Add Product,201,Created,Product Queue Test 4-19,text,true,,378,519,80,568,http://localhost:3000/products,9455,0,3
1779136648025,9585,Add Product,201,Created,Product Queue Test 4-20,text,true,,378,519,79,564,http://localhost:3000/products,9585,0,2
1779136648125,9610,Add Product,201,Created,Product Queue Test 4-21,text,true,,378,519,78,559,http://localhost:3000/products,9610,0,2
1779136648225,9695,Add Product,201,Created,Product Queue Test 4-22,text,true,,378,519,77,552,http://localhost:3000/products,9695,0,1
1779136648325,9726,Add Product,201,Created,Product Queue Test 4-23,text,true,,378,519,76,544,http://localhost:3000/products,9726,0,2
1779136648354,9740,Add Product,201,Created,Product Queue Test 4-24,text,true,,378,519,75,541,http://localhost:3000/products,9740,0,2
1779136648525,9782,Add Product,201,Created,Product Queue Test 4-25,text,true,,378,519,74,533,http://localhost:3000/products,9782,0,5
1779136648625,9885,Add Product,201,Created,Product Queue Test 4-26,text,true,,378,519,73,527,http://localhost:3000/products,9885,0,2
1779136648726,9901,Add Product,201,Created,Product Queue Test 4-27,text,true,,378,519,72,521,http://localhost:3000/products,9901,0,3
1779136648826,10009,Add Product,201,Created,Product Queue Test 4-28,text,true,,378,519,71,514,http://localhost:3000/products,10009,0,2
1779136648925,9936,Add Product,201,Created,Product Queue Test 4-29,text,true,,378,519,70,513,http://localhost:3000/products,9936,0,4
1779136649025,10040,Add Product,201,Created,Product Queue Test 4-30,text,true,,378,519,69,499,http://localhost:3000/products,10040,0,1
1779136649126,10033,Add Product,201,Created,Product Queue Test 4-31,text,true,,378,519,68,496,http://localhost:3000/products,10033,0,2
1779136649325,10008,Add Product,201,Created,Product Queue Test 4-33,text,true,,378,519,67,489,http://localhost:3000/products,10008,0,3
1779136649225,10129,Add Product,201,Created,Product Queue Test 4-32,text,true,,378,519,66,487,http://localhost:3000/products,10129,0,3
1779136649425,10123,Add Product,201,Created,Product Queue Test 4-34,text,true,,378,519,65,478,http://localhost:3000/products,10123,0,3
1779136649526,10205,Add Product,201,Created,Product Queue Test 4-35,text,true,,378,519,64,468,http://localhost:3000/products,10205,0,3
1779136649624,10252,Add Product,201,Created,Product Queue Test 4-36,text,true,,378,519,63,462,http://localhost:3000/products,10252,0,3
1779136649725,10267,Add Product,201,Created,Product Queue Test 4-37,text,true,,378,519,62,456,http://localhost:3000/products,10267,0,2
1779136649825,10278,Add Product,201,Created,Product Queue Test 4-38,text,true,,378,519,61,450,http://localhost:3000/products,10278,0,2
1779136649855,10303,Add Product,201,Created,Product Queue Test 4-39,text,true,,378,519,60,449,http://localhost:3000/products,10303,0,3
1779136650026,10348,Add Product,201,Created,Product Queue Test 4-40,text,true,,378,519,59,438,http://localhost:3000/products,10348,0,2
1779136650125,10401,Add Product,201,Created,Product Queue Test 4-41,text,true,,378,519,58,428,http://localhost:3000/products,10401,0,1
1779136650224,10306,Add Product,201,Created,Product Queue Test 4-42,text,true,,378,519,57,427,http://localhost:3000/products,10306,0,2
1779136650325,10282,Add Product,201,Created,Product Queue Test 4-43,text,true,,378,519,56,408,http://localhost:3000/products,10282,0,4
1779136650426,10183,Add Product,201,Created,Product Queue Test 4-44,text,true,,378,519,55,407,http://localhost:3000/products,10183,0,3
